Date,Time,Temp [°C],Temp [°F],Temp [°K],pH [Units],ORP [mV],SpCond [mS/cm],SpCond [µS/cm],Res [kO-cm],Sal [ppt],TDS [g/l],pHVolts [mV],LDO% [Sat],LDO [mg/l],BP [mmHg],CHL [µg/l],CHLV [Volts],PCY [cell/mL],PCYV [Volts],IBatt [Volts],EBatt [Volts],IBatt [%Left],EBatt [%Left],Circ [Status],Date / Time,lake,depth,
6/13/2024,13:59:50,7.91,46.2,281.1,7.43,-24,0,11,90,-0.01,0,2.9,110.2,12.94,752,5.68,0.0651,295,0.0041,6.4,0,0,0,1,6/13/2024 13:59:50,L,5.25,
6/13/2024,14:00:20,7.29,45.1,280.4,7.31,-22,0,11,89,-0.01,0,9.2,96.5,11.51,752,10.03,0.1085,449,0.0045,6.3,0,0,0,1,6/13/2024 14:00:20,L,5.5,
6/13/2024,14:00:50,6.9,44.4,280.1,7.12,-19,0,12,87,-0.01,0,19.3,71.3,8.59,752,11.42,0.1193,513,0.0046,6.4,0,0,0,1,6/13/2024 14:00:50,L,5.75,
6/13/2024,14:01:20,6.43,43.6,279.6,6.91,-16,0,12,83,-0.01,0,30.4,40,4.88,752,15.84,0.163,649,0.0051,6.3,0,0,0,1,6/13/2024 14:01:20,L,6,
6/13/2024,14:01:50,6.2,43.2,279.4,6.76,-11,0,12,82,-0.01,0,38.6,22.2,2.72,752,32.64,0.3043,1348,0.0066,6.4,0,0,0,1,6/13/2024 14:01:50,L,6.25,
6/13/2024,14:02:20,5.89,42.6,279.1,6.65,-8,0,12,80,-0.01,0,44.3,5.5,0.67,752,14.32,0.1962,1024,0.0058,6.3,0,0,0,1,6/13/2024 14:02:20,L,6.5,
6/13/2024,14:02:50,5.76,42.4,278.9,6.6,-6,0,12,80,-0.01,0,46.9,3.4,0.42,752,45.63,0.4549,3286,0.0114,6.4,0,0,0,1,6/13/2024 14:02:50,L,6.75,
6/13/2024,14:03:20,5.72,42.3,278.9,6.56,-4,0,12,80,-0.01,0,48.8,2.7,0.34,752,58.57,0.5815,4273,0.0138,6.4,0,0,0,1,6/13/2024 14:03:20,L,7,
6/13/2024,14:03:50,5.65,42.2,278.8,6.52,-3,0,12,80,-0.01,0,51.3,1.3,0.16,752,60.34,0.5957,4211,0.0136,6.4,0,0,0,1,6/13/2024 14:03:50,L,7.5,
6/13/2024,14:04:20,5.4,41.7,278.6,6.52,-63,0,20,49,0,0,51,0.4,0.05,752,8.96,0.113,1316,0.0066,6.3,0,0,0,1,6/13/2024 14:04:20,L,8,
6/13/2024,14:04:50,7.79,46,280.9,6.7,-93,0,11,88,-0.01,0,41.5,21.4,2.52,752,16.94,0.1491,318,0.0046,6.3,0,0,0,1,6/13/2024 14:04:50,,,
6/13/2024,14:05:20,20.88,69.6,294,6.34,64,0,11,95,-0.01,0,62.6,100.5,8.88,752,0.12,0.0117,500,0.0044,6.3,0,0,0,1,6/13/2024 14:05:20,,,
6/13/2024,14:05:50,18.1,64.6,291.3,8.77,1000,0,0,0,-0.02,0,-72.3,98.4,9.2,752,0,0.0017,0,0.0019,6.4,0,0,0,1,6/13/2024 14:05:50,,,
6/13/2024,14:06:20,24.54,76.2,297.7,7.77,-178,0.9,895,1,0.47,0.6,-18.1,105.5,8.68,752,0,0.0077,47,0.0036,6.4,0,0,0,1,6/13/2024 14:06:20,,,
6/13/2024,14:06:50,24.33,75.8,297.5,7.94,-184,0.9,891,1,0.46,0.6,-27.6,105.6,8.72,752,0,0.0077,15,0.0034,6.3,0,0,0,1,6/13/2024 14:06:50,,,
6/13/2024,14:07:20,24.51,76.1,297.7,8.02,-175,0.9,886,1,0.46,0.6,-32.1,104.4,8.59,752,0,0.0086,17,0.0034,6.3,0,0,0,1,6/13/2024 14:07:20,,,
6/13/2024,14:07:50,24.52,76.1,297.7,8.07,-166,0.9,883,1,0.46,0.6,-34.9,103.9,8.55,752,0,0.0088,7,0.0034,6.3,0,0,0,1,6/13/2024 14:07:50,,,
6/13/2024,14:08:20,24.2,75.6,297.4,8.1,-157,0.9,886,1,0.46,0.6,-36.9,103.8,8.59,752,0,0.009,36,0.0035,6.2,0,0,0,1,6/13/2024 14:08:20,,,
6/13/2024,14:08:50,24.2,75.6,297.4,8.12,-149,0.9,886,1,0.46,0.6,-37.9,103.6,8.57,752,0,0.0088,35,0.0035,6.3,0,0,0,1,6/13/2024 14:08:50,,,
6/13/2024,14:09:20,24.21,75.6,297.4,8.14,-141,0.9,890,1,0.46,0.6,-38.7,103.4,8.55,752,0,0.0089,60,0.0036,6.3,0,0,0,1,6/13/2024 14:09:20,,,
6/13/2024,14:09:50,23.9,75,297.1,8.15,-135,0.9,893,1,0.47,0.6,-39.6,103.5,8.61,752,0,0.0089,44,0.0035,6.3,0,0,0,1,6/13/2024 14:09:50,,,
6/13/2024,14:10:20,24.03,75.3,297.2,8.16,-129,0.9,893,1,0.47,0.6,-40.2,103.6,8.6,752,0,0.0088,25,0.0035,6.2,0,0,0,1,6/13/2024 14:10:20,,,
6/13/2024,14:10:50,24.13,75.4,297.3,8.18,-123,0.9,891,1,0.46,0.6,-40.8,103,8.53,752,0,0.0088,454,0.0047,6.2,0,0,0,1,6/13/2024 14:10:50,,,
6/13/2024,14:11:20,23.92,75.1,297.1,8.18,-119,0.9,892,1,0.46,0.6,-41.2,103.6,8.62,752,0,0.0089,476,0.0046,6.1,0,0,0,1,6/13/2024 14:11:20,,,
6/13/2024,14:11:50,23.84,74.9,297,8.19,-114,0.9,895,1,0.47,0.6,-41.4,103.7,8.64,752,0,0.0089,192,0.0039,6.2,0,0,0,1,6/13/2024 14:11:50,,,
6/13/2024,14:12:20,23.86,74.9,297,8.19,-110,0.9,891,1,0.46,0.6,-41.5,103.6,8.63,752,0,0.009,756,0.005,6.2,0,0,0,1,6/13/2024 14:12:20,,,
6/13/2024,14:12:50,23.92,75.1,297.1,8.19,-107,0.9,893,1,0.47,0.6,-41.6,103,8.57,752,0,0.0091,89,0.0036,6.1,0,0,0,1,6/13/2024 14:12:50,,,
6/13/2024,14:13:20,23.84,74.9,297,8.19,-104,0.9,894,1,0.47,0.6,-41.7,103.2,8.6,752,0,0.009,33,0.0035,6,0,0,0,1,6/13/2024 14:13:20,,,
6/13/2024,14:13:50,23.94,75.1,297.1,8.2,-101,0.9,892,1,0.46,0.6,-42.4,103,8.57,752,0,0.009,0,0.0034,6.1,0,0,0,1,6/13/2024 14:13:50,,,
6/13/2024,14:14:20,23.95,75.1,297.1,8.21,-98,0.9,895,1,0.47,0.6,-42.6,102.8,8.55,752,0,0.0089,10,0.0034,6,0,0,0,1,6/13/2024 14:14:20,,,
6/13/2024,14:14:50,23.95,75.1,297.1,8.2,-96,0.9,894,1,0.47,0.6,-42.4,102.5,8.52,752,0,0.0089,0,0.0034,6.1,0,0,0,1,6/13/2024 14:14:50,,,
6/13/2024,14:15:20,24,75.2,297.2,8.2,-93,0.9,893,1,0.47,0.6,-42.3,102.7,8.53,752,0,0.0089,8,0.0034,6,0,0,0,1,6/13/2024 14:15:20,,,
