"lake","year","date","ZID","carbon","doy","depth","depth.rounded","manual.chl","c.to.chl","c.to.chl.corr"
"T",2022,2022-08-07,4,800,219,2.1,2,3.9006002015024,205.096641202003,88.1915557168615
"T",2022,2022-08-07,1,813.333333333333,219,0,0,5.61591120005819,144.826601482749,62.275438637582
"R",2022,2022-08-01,2,513.333333333333,213,0.45,0.5,1.77519814259838,289.1695980382,153.259886960246
"L",2022,2022-08-02,1,693.333333333333,214,0,0,3.9317528989415,176.34204161711,109.332065802608
"L",2022,2022-07-26,4,546.666666666667,207,2.4,2.5,5.30303497160256,103.085623533323,63.9130865906601
"T",2022,2022-08-03,4,740,215,2,2,2.36792832396498,312.509459222527,134.379067465686
"L",2022,2022-08-02,6,1333.33333333333,214,5.9,6,29.4188062073059,45.3224826302507,28.0999392307554
"R",2022,2022-08-01,1,533.333333333333,213,0,0,1.86490595453536,285.984036908828,151.571539561679
"R",2022,2022-08-01,3,553.333333333333,213,1.2,1.25,2.21961336512603,249.292666023353,132.125112992377
"T",2022,2022-07-27,3,1020,208,1.1,1,8.83384625989985,115.464993389138,49.6499471573295
"L",2022,2022-08-08,3,786.666666666667,220,1.7,1.75,5.58910554084769,140.750011055857,87.2650068546316
"T",2022,2022-08-03,5,813.333333333333,215,2.4,2.5,2.32259446392428,350.183101684965,150.578733724535
"T",2022,2022-08-07,6,846.666666666667,219,3.7,3.75,7.15366610520895,118.354233230171,50.8923202889734
"L",2022,2022-07-26,6,1133.33333333333,207,5.3,5.25,16.8912255131105,67.0959802445164,41.5995077516002
"L",2022,2022-08-02,2,760,214,0.8,0.75,3.85085542897153,197.358746392351,122.362422763258
"L",2022,2022-08-08,4,760,220,3.1,3,6.43766434051399,118.055238639441,73.1942479564535
"L",2022,2022-08-08,5,826.666666666667,220,4,4,7.21377250303705,114.595610870544,71.0492787397375
